        32	         8
        10	        11	        14	        13	         1	         2	         5	         4	
        11	        12	        15	        14	         2	         3	         6	         5	
        13	        14	        17	        16	         4	         5	         8	         7	
        14	        15	        18	        17	         5	         6	         9	         8	
        19	        20	        23	        22	        10	        11	        14	        13	
        20	        21	        24	        23	        11	        12	        15	        14	
        22	        23	        26	        25	        13	        14	        17	        16	
        23	        24	        27	        26	        14	        15	        18	        17	
        28	        29	        32	        31	        19	        20	        23	        22	
        29	        30	        33	        32	        20	        21	        24	        23	
        31	        32	        35	        34	        22	        23	        26	        25	
        32	        33	        36	        35	        23	        24	        27	        26	
        37	        38	        41	        40	        28	        29	        32	        31	
        38	        39	        42	        41	        29	        30	        33	        32	
        40	        41	        44	        43	        31	        32	        35	        34	
        41	        42	        45	        44	        32	        33	        36	        35	
        46	        47	        50	        49	        37	        38	        41	        40	
        47	        48	        51	        50	        38	        39	        42	        41	
        49	        50	        53	        52	        40	        41	        44	        43	
        50	        51	        54	        53	        41	        42	        45	        44	
        55	        56	        59	        58	        46	        47	        50	        49	
        56	        57	        60	        59	        47	        48	        51	        50	
        58	        59	        62	        61	        49	        50	        53	        52	
        59	        60	        63	        62	        50	        51	        54	        53	
        64	        65	        68	        67	        55	        56	        59	        58	
        65	        66	        69	        68	        56	        57	        60	        59	
        67	        68	        71	        70	        58	        59	        62	        61	
        68	        69	        72	        71	        59	        60	        63	        62	
        73	        74	        77	        76	        64	        65	        68	        67	
        74	        75	        78	        77	        65	        66	        69	        68	
        76	        77	        80	        79	        67	        68	        71	        70	
        77	        78	        81	        80	        68	        69	        72	        71	
