        55
        10	         2	1428.07474842	99989.80249262	
        20	         2	4282.57837201	99908.25552720	
        30	         2	7133.81448714	99745.21888724	
        40	         2	9979.36667443	99500.81527695	
        50	         2	12816.74395343	99175.25434519	
        60	         2	15643.53959046	98768.81931603	
        70	         2	18457.28222382	98281.88405251	
        80	         2	21256.62369739	97714.66598719	
        90	         2	24038.29723514	97067.81271892	
       100	         2	26800.15852742	96341.84710138	
       110	         2	29540.49335667	95537.21396526	
       120	         2	32256.68759942	94654.66763511	
       130	         2	34946.29270228	93695.01921856	
       140	         2	37607.78985954	92658.80498841	
       150	         2	40238.38900684	91547.10290410	
       160	         2	42836.09955772	90360.76900227	
       170	         2	45399.01758416	89100.66892225	
       180	         2	47924.92869277	87767.88256414	
       190	         2	50411.76140739	86363.50103953	
       200	         2	52857.28211416	84888.79624252	
       210	         2	55259.87523401	83344.74302031	
       220	         2	57617.12981073	81732.89639046	
       230	         2	59927.82169697	80054.08288561	
       240	         2	62189.33182072	78310.19734168	
       250	         2	64400.34544198	76502.25818205	
       260	         2	66558.58780933	74632.12705549	
       270	         2	68662.56647239	72701.11392148	
       280	         2	70710.67811865	70710.67811865	
       290	         2	72701.11392148	68662.56647239	
       300	         2	74632.12705549	66558.58780933	
       310	         2	76502.25818205	64400.34544198	
       320	         2	78310.19734168	62189.33182072	
       330	         2	80054.08288561	59927.82169697	
       340	         2	81732.89639046	57617.12981073	
       350	         2	83344.74302031	55259.87523401	
       360	         2	84888.79624252	52857.28211416	
       370	         2	86363.50103953	50411.76140739	
       380	         2	87767.88256414	47924.92869277	
       390	         2	89100.66892225	45399.01758416	
       400	         2	90360.76900227	42836.09955772	
       410	         2	91547.10290410	40238.38900684	
       420	         2	92658.80498841	37607.78985954	
       430	         2	93695.01921856	34946.29270228	
       440	         2	94654.66763511	32256.68759942	
       450	         2	95537.21396526	29540.49335667	
       460	         2	96341.84710138	26800.15852742	
       470	         2	97067.81271892	24038.29723514	
       480	         2	97714.66598719	21256.62369739	
       490	         2	98281.88405251	18457.28222382	
       500	         2	98768.81931603	15643.53959046	
       510	         2	99175.25434519	12816.74395343	
       520	         2	99500.81527695	9979.36667443	
       530	         2	99745.21888724	7133.81448714	
       540	         2	99908.25552720	4282.57837201	
       550	         2	99989.80249262	1428.07474842	
